case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:44:568,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:35:54:595,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:24:51:514,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:12:46:667,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:28:55:459,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:15:18:774,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:54:568,Alyce,normal,anomalous,"-"
2,2,Activity N,2020-06-27 17:48:06:176,Wilton,normal,anomalous,"-"
2,3,Activity Y,2020-06-27 18:41:00:065,Lourdes,normal,anomalous,"-"
2,4,Random activity 24,2020-06-27 19:39:33:510,Random user 66,normal,anomalous,"-"
2,5,Activity AD,2020-06-27 20:16:33:233,Brant,normal,anomalous,"-"
2,6,Activity Z,2020-06-27 21:14:44:381,Michaele,normal,anomalous,"-"
2,7,Activity O,2020-06-27 22:05:15:531,Keven,normal,anomalous,"-"
2,8,Activity B,2020-06-27 22:40:36:772,Grayce,normal,anomalous,"-"
2,9,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:04:568,Della,normal,anomalous,"{'indices': [1, 3]}"
3,2,Random activity 28,2020-06-27 18:02:52:048,Random user 9,normal,anomalous,"{'indices': [1, 3]}"
3,3,Activity N,2020-06-27 18:56:31:502,Earl,normal,anomalous,"{'indices': [1, 3]}"
3,4,Random activity 22,2020-06-27 19:41:31:224,Random user 44,normal,anomalous,"{'indices': [1, 3]}"
3,5,Activity P,2020-06-27 20:09:12:383,Emily,normal,anomalous,"{'indices': [1, 3]}"
3,6,Activity Q,2020-06-27 21:00:15:608,Della,normal,anomalous,"{'indices': [1, 3]}"
3,7,Activity O,2020-06-27 22:00:06:277,Charles,normal,anomalous,"{'indices': [1, 3]}"
3,8,Activity B,2020-06-27 22:58:34:362,Brian,normal,anomalous,"{'indices': [1, 3]}"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:14:568,Della,normal,anomalous,"-"
4,2,Activity N,2020-06-27 18:02:52:012,Brant,normal,anomalous,"-"
4,3,Activity R,2020-06-27 18:57:01:860,Sherell,normal,anomalous,"-"
4,4,Activity U,2020-06-27 19:38:57:095,Ling,normal,anomalous,"-"
4,5,Activity S,2020-06-27 20:09:23:777,Vickie,normal,anomalous,"-"
4,6,Random activity 29,2020-06-27 20:57:06:852,Random user 32,normal,anomalous,"-"
4,7,Activity O,2020-06-27 21:43:46:497,Lucy,normal,anomalous,"-"
4,8,Activity B,2020-06-27 22:06:04:026,Melany,normal,anomalous,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:24:568,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:49:40:383,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:43:37:054,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:33:19:561,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 20:00:43:661,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:51:12:487,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:34:568,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:55:36:515,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:54:21:130,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:40:23:610,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:06:46:925,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 20:54:52:614,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:44:568,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 18:01:08:235,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:50:49:782,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:43:23:252,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 20:02:29:876,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:56:44:938,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:54:568,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:51:26:644,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:47:30:599,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:26:51:574,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 20:03:56:578,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 20:50:26:011,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:06:04:568,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:47:10:466,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:43:08:296,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:42:45:994,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 20:08:57:333,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 20:57:18:535,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:06:14:568,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:22:35:105,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:12:50:401,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:05:37:971,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:29:46:282,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:26:02:939,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 20:59:30:775,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:06:24:568,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 18:01:10:262,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:57:14:260,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:38:27:569,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 20:17:54:869,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 21:14:50:419,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 22:00:35:674,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:06:34:568,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 17:24:46:954,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 18:14:49:230,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 18:51:28:241,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 19:30:15:217,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 20:22:14:619,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:06:44:568,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 17:56:56:202,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 18:54:11:940,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 19:38:29:932,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 19:53:49:054,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 20:44:00:155,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:06:54:568,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 17:50:43:450,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 18:39:50:049,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 19:24:51:837,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 20:24:11:884,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 21:15:03:016,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:07:04:568,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 17:48:40:642,Hoyt,normal,normal,"-"
