case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:05:21:679,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:22:26:636,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:11:16:838,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:09:24:503,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:58:58:818,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:48:40:658,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity N,2020-06-27 17:05:31:679,Wilton,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,2,Activity Y,2020-06-27 18:01:56:967,Lourdes,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,3,Activity AD,2020-06-27 18:50:34:174,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,4,Activity Z,2020-06-27 19:34:38:423,Michaele,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,5,Activity O,2020-06-27 20:08:56:279,Keven,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,6,Activity A,2020-06-27 20:59:04:092,Alyce,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,7,Activity B,2020-06-27 21:34:06:653,Grayce,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 1}"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:41:679,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:44:48:075,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:44:41:784,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:28:42:050,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:04:28:723,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:01:02:945,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:51:679,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:44:37:097,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:38:22:957,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:35:47:496,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 20:12:10:833,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 21:08:22:933,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:55:24:081,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity AG,2020-06-27 17:06:01:679,Sandra,normal,anomalous,"{'shift_from': 0, 'shift_to': 3, 'size': 2}"
5,2,Activity AH,2020-06-27 17:21:41:635,Jamika,normal,anomalous,"{'shift_from': 0, 'shift_to': 3, 'size': 2}"
5,3,Activity O,2020-06-27 18:21:12:351,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 3, 'size': 2}"
5,4,Activity A,2020-06-27 18:58:23:416,Alyce,normal,anomalous,"{'shift_from': 0, 'shift_to': 3, 'size': 2}"
5,5,Activity N,2020-06-27 19:35:42:334,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 3, 'size': 2}"
5,6,Activity B,2020-06-27 20:28:29:382,Deloras,normal,anomalous,"{'shift_from': 0, 'shift_to': 3, 'size': 2}"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:06:11:679,Della,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
6,2,Activity AF,2020-06-27 17:52:25:361,Rossie,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
6,3,Activity O,2020-06-27 18:51:31:949,Jamika,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
6,4,Activity N,2020-06-27 19:34:00:566,Roy,normal,anomalous,"{'shift_from': 1, 'shift_to': 3, 'size': 2}"
