case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:49:629,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:22:22:614,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:15:42:921,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 18:58:05:677,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:38:41:228,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:34:03:802,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:59:629,Alyce,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,2,Activity N,2020-06-27 18:02:33:095,Wilton,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,3,Activity Y,2020-06-27 18:55:48:698,Lourdes,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,4,Activity AD,2020-06-27 19:36:11:418,Brant,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,5,Activity O,2020-06-27 20:09:52:667,Keven,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,6,Activity B,2020-06-27 20:57:51:024,Grayce,normal,anomalous,"{'size': 1, 'start': 4, 'skipped': [{'name': 'Activity Z', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Michaele'}}]}"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:05:09:629,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:55:34:376,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:46:34:427,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:37:23:371,Della,normal,normal,"-"
