case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:46:054,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:56:08:612,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:44:47:331,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:25:33:997,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:01:17:408,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:46:41:692,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:22:16:831,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:56:054,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:39:35:354,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:35:31:841,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:06:054,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:30:06:917,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:20:21:666,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:16:054,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 17:56:53:822,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:55:23:898,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:26:054,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:24:42:894,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:24:22:880,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:36:054,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:36:22:266,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:22:03:000,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:46:054,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 18:02:55:045,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:57:48:335,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:56:054,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 18:08:19:126,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:56:17:844,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:31:44:269,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 20:29:30:150,James,normal,normal,"-"
8,6,Activity S,2020-06-27 21:25:59:817,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 22:10:58:677,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:06:054,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:48:13:390,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:47:21:116,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:45:13:795,Amanda,normal,normal,"-"
