case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:33:149,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:06:30:682,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:59:42:497,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:52:46:970,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:18:56:642,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:17:24:095,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:05:50:748,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:43:149,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:18:45:279,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:18:11:378,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:53:149,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:35:16:269,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:30:47:345,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:03:149,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:07:40:255,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:56:03:154,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:13:149,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:29:42:914,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:20:15:813,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:23:149,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:53:49:814,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:51:19:179,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:33:149,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:17:02:785,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 16:02:53:058,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:43:149,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 15:23:20:850,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 16:15:04:721,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:48:19:071,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:29:51:905,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:19:55:834,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 19:14:22:503,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:37:53:149,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 15:29:59:399,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 16:24:07:496,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 17:03:00:251,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:35:45:044,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:32:22:790,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 19:13:30:039,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:03:149,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 15:25:17:758,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 16:22:54:305,Pam,normal,normal,"-"
