case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:11:712,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:11:47:613,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:58:59:636,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:47:06:363,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:25:49:173,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:13:22:902,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:04:35:186,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:35:59:353,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:21:712,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 15:25:26:046,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 16:11:30:988,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:57:49:685,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:56:14:499,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:54:11:601,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 19:25:32:713,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 20:23:28:546,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 21:14:23:130,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 22:04:52:347,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:31:712,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:12:25:828,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:07:54:409,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:52:47:154,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:19:17:192,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:16:25:248,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:56:49:611,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:22:05:258,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:36:41:712,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:19:03:592,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:16:11:825,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 17:09:29:358,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:31:43:678,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:21:19:241,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:53:41:473,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:50:43:173,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:44:17:690,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:36:51:712,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:07:35:586,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 16:04:20:630,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:51:17:643,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:25:39:077,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:23:48:857,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:59:54:090,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:45:16:819,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:41:53:513,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 21:34:14:849,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:01:712,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 15:24:31:237,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 16:21:35:341,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 17:09:57:321,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:55:29:522,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:49:27:840,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 19:29:45:498,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 20:12:31:090,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 21:10:31:022,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:11:712,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 15:05:02:583,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 15:50:52:061,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:50:50:301,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 17:21:00:606,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 18:18:30:737,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 19:07:26:141,Donald,normal,normal,"-"
