case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:26:981,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:29:38:663,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:22:43:965,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 18:58:07:190,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:15:39:887,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:15:00:599,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 20:56:15:857,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 21:49:58:552,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:36:981,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:51:29:923,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:38:57:968,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:27:33:317,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:05:53:958,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:51:55:656,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:51:14:425,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:46:981,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:33:25:414,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:24:38:303,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:56:981,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:22:59:685,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:18:00:118,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 18:48:05:610,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:47:47:000,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:41:30:786,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:41:03:692,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 22:03:16:169,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:06:981,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:43:40:493,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:33:40:482,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:16:03:699,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 20:07:03:636,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 21:01:43:197,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:34:32:094,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:27:17:293,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:16:981,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:42:43:599,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:31:52:815,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:25:08:717,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 20:12:00:118,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 21:07:12:815,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 22:03:00:908,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:26:981,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 17:47:43:525,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 18:37:47:879,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 19:23:01:642,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 19:56:26:909,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 20:41:36:246,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 21:25:04:012,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:36:981,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:37:42:109,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:23:48:816,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:46:981,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:30:22:432,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:29:04:153,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 19:20:30:662,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 19:42:58:176,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 20:39:30:416,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 21:29:21:975,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:56:981,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 17:39:04:203,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 18:25:34:734,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:06:981,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 17:42:11:917,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 18:40:04:762,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 19:13:04:891,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 19:40:08:706,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 20:36:41:086,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 21:21:03:176,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 22:15:19:457,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:16:981,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 17:33:58:342,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 18:20:43:905,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 19:03:52:560,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 19:37:23:925,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 20:24:15:960,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 21:03:00:061,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 22:01:13:955,Sherlene,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:26:981,Rossana,normal,normal,"-"
13,2,Activity O,2020-06-27 17:49:51:338,Melany,normal,normal,"-"
13,3,Activity S,2020-06-27 18:37:14:588,Doretta,normal,normal,"-"
13,4,Activity T,2020-06-27 19:32:58:564,Velda,normal,normal,"-"
13,5,Activity P,2020-06-27 20:22:34:488,Jin,normal,normal,"-"
13,6,Activity B,2020-06-27 21:13:02:715,Sherell,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:09:36:981,Micheline,normal,normal,"-"
14,2,Activity Y,2020-06-27 17:28:21:772,Ling,normal,normal,"-"
14,3,Activity B,2020-06-27 18:13:30:892,Michaele,normal,normal,"-"
14,4,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:09:46:981,Doretta,normal,normal,"-"
15,2,Activity C,2020-06-27 17:44:30:538,Maryellen,normal,normal,"-"
15,3,Activity G,2020-06-27 18:40:44:510,Steve,normal,normal,"-"
15,4,Activity D,2020-06-27 19:27:08:194,Emily,normal,normal,"-"
15,5,Activity I,2020-06-27 20:18:43:598,Iluminada,normal,normal,"-"
