case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:34:078,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:53:00:428,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:44:42:695,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:40:26:126,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 20:04:30:250,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 21:02:39:387,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:50:34:454,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:19:52:029,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:44:078,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:53:35:212,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:46:41:832,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:40:54:956,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:18:36:661,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 21:14:26:265,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 22:03:54:061,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:54:078,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:53:55:781,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:49:03:309,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:04:078,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:26:52:819,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:17:05:284,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:13:49:571,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:37:11:503,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:29:57:525,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:05:22:858,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 21:52:40:221,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:14:078,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:51:25:262,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:48:30:947,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:22:21:114,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 19:40:04:968,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 20:39:44:795,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:28:11:119,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 21:47:32:230,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:24:078,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:57:23:800,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:51:56:687,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:42:51:570,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 20:34:57:081,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 21:21:31:529,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 21:59:37:740,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:34:078,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 17:33:16:171,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 18:18:17:993,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 19:07:49:052,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 19:45:34:095,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 20:32:16:751,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 21:20:19:226,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:44:078,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:25:36:242,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:15:23:244,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:54:078,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 17:54:53:962,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 18:45:15:494,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 19:44:31:597,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 20:43:04:482,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 21:40:07:619,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 22:11:37:985,Alpha,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:04:078,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 17:28:39:260,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 18:16:45:342,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:14:078,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 17:58:48:778,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 18:52:55:908,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 19:35:16:448,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 20:07:57:721,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 21:05:47:274,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 22:05:01:204,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 22:56:58:321,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:24:078,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 17:38:21:677,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 18:30:40:721,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 19:30:03:014,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 20:21:36:162,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 21:21:22:812,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 21:53:18:123,Doretta,normal,normal,"-"
