case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:34:905,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:29:43:786,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:21:42:176,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:06:47:664,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:37:06:689,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:34:43:154,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:27:52:077,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:08:00:806,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:44:905,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 18:05:51:187,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:55:03:077,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:34:54:320,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:11:45:911,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 21:01:32:332,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:31:49:404,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:54:905,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:29:41:453,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:18:44:770,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:04:905,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:26:56:788,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:19:55:512,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 18:51:35:730,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:20:13:566,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:12:59:496,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 20:52:16:779,Gema,normal,normal,"-"
