case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:24:843,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 18:05:33:252,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:58:56:870,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:54:29:801,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:24:16:344,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:23:11:654,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:55:17:904,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:39:13:288,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:27:21:096,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:23:21:292,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:34:843,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:31:11:390,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:22:31:548,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:02:10:551,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 19:52:53:056,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:49:45:253,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:24:09:138,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:44:843,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:32:04:581,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:30:27:567,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:21:40:539,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:59:31:313,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:44:34:794,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:17:57:917,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 21:54:58:546,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 22:51:30:126,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:34:38:514,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:54:843,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:07:28:239,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 19:04:42:963,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:57:01:877,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:35:17:646,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:21:58:159,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:55:04:594,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:34:28:780,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:20:43:807,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:08:48:196,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:04:843,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:50:00:629,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:40:25:726,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:35:27:078,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:22:28:061,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:14:42:806,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 22:10:59:664,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:57:48:638,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:57:37:298,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:37:26:491,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:14:843,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 18:07:24:346,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 19:02:41:002,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:59:09:076,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:34:19:216,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 21:25:51:673,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 22:22:01:325,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:24:843,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:43:57:526,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:30:35:217,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:06:38:086,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 19:51:00:946,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 20:39:57:432,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:11:28:430,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 21:41:26:053,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 22:27:44:747,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 23:02:43:024,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:34:843,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 18:03:22:481,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:50:16:942,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:49:09:563,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 20:42:53:233,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 21:41:07:767,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 22:22:27:606,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:44:843,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 17:48:50:035,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:47:19:761,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:41:10:202,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 20:28:45:760,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 21:15:52:057,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 21:51:06:642,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:20:25:796,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:07:44:784,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-28 00:03:37:456,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:54:843,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 17:46:26:147,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 18:41:54:978,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 19:22:05:353,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 19:57:01:194,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 20:47:00:965,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 21:43:40:722,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 22:40:37:015,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 23:35:48:405,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-28 00:23:34:647,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:04:843,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 17:27:27:690,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 18:17:41:509,James,normal,normal,"-"
11,4,Activity D,2020-06-27 18:49:18:788,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 19:11:52:318,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 20:02:37:613,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 21:02:18:995,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 21:18:27:049,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 22:09:26:168,Keven,normal,normal,"-"
11,10,Activity F,2020-06-27 22:54:32:500,Howard,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:14:843,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 17:35:25:057,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 18:20:37:497,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 19:06:52:136,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 19:46:43:530,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 20:36:31:997,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 21:12:11:185,James,normal,normal,"-"
12,8,Activity I,2020-06-27 21:46:25:049,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 22:45:38:786,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 23:32:55:831,Howard,normal,normal,"-"
12,11,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:24:843,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 18:04:33:846,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 19:00:55:360,James,normal,normal,"-"
13,4,Activity D,2020-06-27 19:31:25:978,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 20:27:00:647,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 21:16:36:420,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 22:15:21:023,James,normal,normal,"-"
13,8,Activity I,2020-06-27 22:45:53:464,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 23:34:31:560,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-28 00:26:43:661,Howard,normal,normal,"-"
13,11,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:09:34:843,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 17:58:57:837,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 18:49:13:455,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 19:30:01:014,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 20:27:27:356,Hugo,normal,normal,"-"
