case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:40:636,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:59:28:705,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:55:05:706,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:47:56:707,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:03:11:862,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:01:13:782,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:59:43:352,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:28:32:924,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:21:07:278,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:09:25:410,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:50:636,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 18:00:51:513,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:49:26:924,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:42:45:855,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 19:59:35:923,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:54:13:655,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:44:46:033,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:00:636,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:46:03:454,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:45:15:404,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:17:18:258,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:54:31:226,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:39:45:974,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:11:43:189,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 21:44:00:018,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 22:31:44:684,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:13:47:499,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:10:636,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:46:11:239,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:31:34:094,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:20:18:694,Lourdes,normal,normal,"-"
