case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:31:051,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:16:19:604,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:02:17:379,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:50:03:348,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:07:07:232,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:59:42:573,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:41:051,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:57:05:382,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:45:57:960,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:44:20:517,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:21:38:968,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:18:49:051,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:15:21:986,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:51:051,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:52:18:019,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:51:04:389,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:45:23:299,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:20:35:514,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:12:34:879,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:01:051,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:20:28:062,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:13:10:520,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 17:04:08:740,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:21:11:245,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:15:26:592,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:08:44:129,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:11:051,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:18:55:373,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:15:33:703,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:58:22:961,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:13:25:292,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:04:02:805,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:21:051,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:18:35:752,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:11:04:019,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:01:57:295,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:41:14:622,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:38:57:496,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:31:051,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 15:03:07:126,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:52:17:980,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:42:05:470,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:37:49:234,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:26:55:123,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:41:051,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:14:58:615,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 16:07:44:002,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:52:39:158,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:23:49:251,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:18:41:925,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:37:51:051,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 15:26:18:152,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 16:20:15:911,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:59:26:541,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:34:46:737,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:26:41:311,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:01:051,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:21:20:367,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 16:20:02:784,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 17:13:38:333,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 17:44:43:141,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 18:30:24:402,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 19:21:42:018,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:11:051,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 15:21:44:353,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 16:07:12:890,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:58:37:713,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 17:33:49:837,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 18:27:42:309,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 19:08:05:669,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:38:21:051,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 15:14:05:611,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 16:05:34:056,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 16:59:25:654,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 17:19:38:900,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 18:12:46:440,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:38:31:051,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 15:34:15:689,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 16:28:37:533,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 17:26:11:675,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 17:43:09:306,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 18:35:51:510,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:38:41:051,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 15:28:17:943,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 16:25:26:730,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 17:00:27:516,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 17:32:45:073,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 18:23:33:859,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:38:51:051,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 15:22:28:708,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 16:16:48:317,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 17:15:57:744,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 18:06:39:108,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 18:54:43:598,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 19:42:26:662,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:39:01:051,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 14:55:08:279,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 15:52:34:459,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 16:48:03:151,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 17:10:17:260,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 18:09:21:206,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:39:11:051,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 15:35:06:371,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 16:23:04:336,Hoyt,normal,normal,"-"
17,4,Activity AF,2020-06-27 17:05:29:459,Rossie,normal,normal,"-"
17,5,Activity O,2020-06-27 17:46:37:240,Hoyt,normal,normal,"-"
17,6,Activity B,2020-06-27 18:44:30:049,Tiffiny,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:39:21:051,Della,normal,normal,"-"
18,2,Activity N,2020-06-27 15:38:40:403,Hoyt,normal,normal,"-"
18,3,Activity R,2020-06-27 16:25:30:064,Carmella,normal,normal,"-"
18,4,Activity T,2020-06-27 17:06:37:179,Iluminada,normal,normal,"-"
18,5,Activity S,2020-06-27 18:02:09:060,Sandra,normal,normal,"-"
18,6,Activity O,2020-06-27 18:58:52:144,Shandi,normal,normal,"-"
18,7,Activity B,2020-06-27 19:58:04:952,Grayce,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:39:31:051,Della,normal,normal,"-"
19,2,Activity N,2020-06-27 15:03:38:765,Roy,normal,normal,"-"
19,3,Activity AE,2020-06-27 15:56:04:369,Hoyt,normal,normal,"-"
19,4,Activity AF,2020-06-27 16:50:29:367,Rossie,normal,normal,"-"
19,5,Activity O,2020-06-27 17:08:50:610,Junior,normal,normal,"-"
19,6,Activity B,2020-06-27 17:56:30:416,Grayce,normal,normal,"-"
19,7,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:39:41:051,Della,normal,normal,"-"
20,2,Activity N,2020-06-27 15:14:30:475,Doretta,normal,normal,"-"
20,3,Activity R,2020-06-27 16:08:19:728,Carmella,normal,normal,"-"
20,4,Activity T,2020-06-27 17:04:05:839,Iluminada,normal,normal,"-"
20,5,Activity S,2020-06-27 17:22:46:681,Sandra,normal,normal,"-"
20,6,Activity O,2020-06-27 18:16:29:606,Keven,normal,normal,"-"
20,7,Activity B,2020-06-27 19:06:37:450,Deloras,normal,normal,"-"
20,8,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 14:39:51:051,Alyce,normal,normal,"-"
21,2,Activity N,2020-06-27 15:29:18:316,Brant,normal,normal,"-"
21,3,Activity R,2020-06-27 16:19:56:228,Hassie,normal,normal,"-"
21,4,Activity T,2020-06-27 17:05:44:981,Iluminada,normal,normal,"-"
21,5,Activity S,2020-06-27 17:45:51:067,Elisha,normal,normal,"-"
21,6,Activity O,2020-06-27 18:42:44:733,Frances,normal,normal,"-"
21,7,Activity B,2020-06-27 19:21:04:256,Melany,normal,normal,"-"
21,8,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 14:40:01:051,Della,normal,normal,"-"
22,2,Activity N,2020-06-27 15:39:13:591,Roy,normal,normal,"-"
22,3,Activity AE,2020-06-27 16:36:13:475,Hoyt,normal,normal,"-"
22,4,Activity AF,2020-06-27 17:16:31:290,Rossie,normal,normal,"-"
22,5,Activity O,2020-06-27 18:00:59:339,Junior,normal,normal,"-"
22,6,Activity B,2020-06-27 18:54:13:840,Deloras,normal,normal,"-"
22,7,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 14:40:11:051,Alyce,normal,normal,"-"
23,2,Activity N,2020-06-27 15:10:56:022,Brant,normal,normal,"-"
23,3,Activity R,2020-06-27 15:59:45:085,Issac,normal,normal,"-"
23,4,Activity X,2020-06-27 16:45:40:217,Michaele,normal,normal,"-"
23,5,Activity S,2020-06-27 17:45:14:716,Craig,normal,normal,"-"
23,6,Activity O,2020-06-27 18:41:09:639,Frances,normal,normal,"-"
23,7,Activity B,2020-06-27 19:38:07:656,Melany,normal,normal,"-"
23,8,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 14:40:21:051,Alyce,normal,normal,"-"
24,2,Activity N,2020-06-27 15:05:44:764,Roseanne,normal,normal,"-"
24,3,Activity P,2020-06-27 15:56:03:000,James,normal,normal,"-"
24,4,Activity Q,2020-06-27 16:27:27:904,Della,normal,normal,"-"
24,5,Activity O,2020-06-27 16:56:13:394,Charles,normal,normal,"-"
24,6,Activity B,2020-06-27 17:44:58:538,Brian,normal,normal,"-"
24,7,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 14:40:31:051,Della,normal,normal,"-"
25,2,Activity N,2020-06-27 15:21:43:939,Brant,normal,normal,"-"
25,3,Activity AG,2020-06-27 16:11:56:149,Sandra,normal,normal,"-"
25,4,Activity AH,2020-06-27 17:02:18:594,Jamika,normal,normal,"-"
