case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:22:732,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 18:06:32:838,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:55:04:361,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:36:51:314,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:01:24:470,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:59:31:540,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:32:732,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:38:32:286,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:32:43:592,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:03:52:630,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 19:19:27:106,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 20:19:24:125,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:00:22:494,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:42:732,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:35:28:853,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:35:10:097,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:25:54:222,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:41:04:098,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:27:26:286,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:52:732,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:36:26:610,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:26:13:715,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:09:24:116,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 20:08:56:776,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 21:04:05:717,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:46:14:719,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:02:732,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:44:03:628,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:41:04:577,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:12:18:834,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:28:44:688,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:26:09:086,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:12:732,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:59:43:558,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:57:36:465,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:40:06:691,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:35:29:000,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 21:34:23:019,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:22:732,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:46:16:106,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:39:23:473,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:11:16:960,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:50:14:361,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:47:43:711,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:32:732,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:36:38:915,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:23:03:389,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:05:13:974,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 19:28:07:108,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 20:15:42:295,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:42:732,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:29:58:368,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:16:49:891,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 18:53:20:750,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 19:48:27:343,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 20:38:15:564,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:52:732,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:46:49:568,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:36:21:982,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:09:36:937,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:29:17:594,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:25:21:598,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 20:59:56:393,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:02:732,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 18:05:43:941,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 19:04:18:702,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 20:04:17:762,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 20:41:35:381,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 21:28:02:581,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 22:04:34:814,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:12:732,Della,normal,normal,"-"
