case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:17:069,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:46:44:091,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:40:39:209,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:17:56:040,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:17:17:755,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 21:12:50:439,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:27:069,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 18:03:57:125,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 19:00:36:643,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:55:31:648,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:42:35:057,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 21:41:36:371,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 22:39:06:412,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:07:37:069,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:59:11:158,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:55:05:911,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:54:46:867,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:50:43:956,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:46:33:891,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:07:47:069,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:25:27:934,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:24:05:808,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 18:59:37:766,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:29:14:447,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:20:01:605,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:12:43:585,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:57:069,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:27:03:992,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:26:38:720,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:04:38:253,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:52:14:000,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:45:35:299,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:07:069,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:43:55:400,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:30:06:096,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:12:58:135,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:09:51:710,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 21:06:35:724,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:17:069,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:48:26:137,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:39:08:362,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:31:54:848,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 20:28:51:476,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 21:16:01:158,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:27:069,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:50:10:160,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:49:20:311,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:47:50:877,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 20:39:48:647,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 21:29:24:685,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:08:37:069,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:49:24:122,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:40:58:580,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:33:30:396,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 20:04:09:104,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 20:49:46:388,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:08:47:069,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:46:42:853,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:43:53:690,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:21:49:018,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 19:46:24:688,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:35:20:621,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 21:14:43:994,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:57:069,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 18:06:47:895,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:52:33:510,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:22:43:110,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 20:21:33:434,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 21:19:04:152,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 22:12:39:739,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:07:069,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 18:08:20:704,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 19:07:18:901,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 19:40:50:559,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 20:17:05:129,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 21:06:46:622,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:17:069,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 17:37:45:350,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 18:35:02:150,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 19:18:33:416,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 20:00:39:889,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 20:49:37:577,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:09:27:069,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 17:25:36:328,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 18:13:27:647,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 18:57:50:087,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 19:25:13:418,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 20:21:04:532,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:09:37:069,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 17:26:59:830,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 18:11:59:929,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 19:07:16:735,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 19:29:41:151,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 20:22:19:886,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 21:03:12:810,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:09:47:069,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 17:36:32:544,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 18:28:26:614,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 19:03:07:066,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 19:46:47:015,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 20:34:38:596,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:09:57:069,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 17:31:11:035,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 18:24:34:470,Hoyt,normal,normal,"-"
17,4,Activity AF,2020-06-27 19:20:49:345,Rossie,normal,normal,"-"
