case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:05:366,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:22:47:455,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:18:07:602,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 17:02:03:401,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:43:26:840,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:35:09:000,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:15:366,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:58:35:035,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:50:08:461,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:50:05:179,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:08:21:421,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:57:38:920,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:57:02:794,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:25:366,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:34:30:604,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:31:57:213,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 17:24:50:808,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:51:10:676,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:40:08:096,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:36:35:366,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:02:44:231,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:00:16:320,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:44:32:248,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:43:22:301,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:31:39:909,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:23:55:982,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:36:45:366,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:57:21:035,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:45:56:758,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:45:16:740,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:32:35:818,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:32:03:722,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:55:366,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:19:14:182,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:18:27:808,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:11:36:342,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:59:26:791,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:56:17:183,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:05:366,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 15:07:27:899,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 16:06:32:430,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:58:40:541,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:19:55:809,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:05:30:273,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:15:366,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:04:11:316,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:58:39:490,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:51:33:498,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:33:45:239,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:27:52:731,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:37:25:366,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 15:18:27:682,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 16:12:45:463,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 17:01:34:821,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:17:03:106,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:10:30:955,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:37:35:366,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:16:28:669,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 16:15:22:358,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 16:59:41:012,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 17:29:03:158,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 18:16:17:142,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 18:47:26:302,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:37:45:366,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 14:56:46:125,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 15:46:03:139,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:18:47:359,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 16:42:51:070,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 17:41:19:143,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 18:22:31:544,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:37:55:366,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 15:06:09:943,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 16:00:54:495,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 16:54:30:585,Jamika,normal,normal,"-"
