case_id,event_position,activity_name,timestamp,label,case,anomaly_type,anomaly_description
1,0,▶,,,,,""
1,1,Activity A,2020-06-19 15:55:37:523,normal,small,-,"-"
1,2,Activity B,2020-06-19 16:17:12:896,normal,small,-,"-"
1,3,Activity C,2020-06-19 17:10:22:364,normal,small,-,"-"
1,4,Activity D,2020-06-19 17:57:18:106,normal,small,-,"-"
1,5,Activity E,2020-06-19 18:29:34:682,normal,small,-,"-"
1,6,Activity K,2020-06-19 19:29:29:149,normal,small,-,"-"
1,7,Activity O,2020-06-19 20:07:39:739,normal,small,-,"-"
1,8,Activity P,2020-06-19 20:49:48:166,normal,small,-,"-"
1,9,Activity L,2020-06-19 21:49:35:187,normal,small,-,"-"
1,10,Activity F,2020-06-19 22:39:53:329,normal,small,-,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-19 15:55:47:523,normal,small,-,"-"
2,2,Activity B,2020-06-19 16:19:03:446,normal,small,-,"-"
2,3,Activity C,2020-06-19 17:18:40:819,normal,small,-,"-"
2,4,Activity D,2020-06-19 18:11:28:607,normal,small,-,"-"
2,5,Activity E,2020-06-19 19:09:22:108,normal,small,-,"-"
2,6,Activity K,2020-06-19 20:01:35:122,normal,small,-,"-"
2,7,Activity Q,2020-06-19 20:32:34:553,normal,small,-,"-"
2,8,Activity L,2020-06-19 21:25:45:416,normal,small,-,"-"
2,9,Activity F,2020-06-19 22:10:49:276,normal,small,-,"-"
2,10,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-19 15:55:57:523,normal,small,-,"-"
3,2,Activity B,2020-06-19 16:15:31:502,normal,small,-,"-"
3,3,Activity C,2020-06-19 17:01:42:614,normal,small,-,"-"
3,4,Activity D,2020-06-19 17:56:55:340,normal,small,-,"-"
3,5,Activity E,2020-06-19 18:26:59:172,normal,small,-,"-"
3,6,Activity G,2020-06-19 19:17:45:749,normal,small,-,"-"
3,7,Activity H,2020-06-19 20:08:27:220,normal,small,-,"-"
3,8,Activity I,2020-06-19 20:32:32:314,normal,small,-,"-"
3,9,Activity J,2020-06-19 21:17:55:339,normal,small,-,"-"
3,10,Activity F,2020-06-19 21:49:30:654,normal,small,-,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-19 15:56:07:523,normal,small,-,"-"
4,2,Activity B,2020-06-19 16:48:53:436,normal,small,-,"-"
4,3,Activity C,2020-06-19 17:39:19:350,normal,small,-,"-"
4,4,Activity D,2020-06-19 18:16:05:334,normal,small,-,"-"
4,5,Activity E,2020-06-19 18:45:14:318,normal,small,-,"-"
4,6,Activity T,2020-06-19 19:32:29:787,normal,small,-,"-"
4,7,Activity F,2020-06-19 20:29:55:726,normal,small,-,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-19 15:56:17:523,normal,small,-,"-"
5,2,Activity B,2020-06-19 16:34:54:432,normal,small,-,"-"
5,3,Activity C,2020-06-19 17:27:43:740,normal,small,-,"-"
5,4,Activity D,2020-06-19 18:27:43:327,normal,small,-,"-"
5,5,Activity E,2020-06-19 19:14:19:079,normal,small,-,"-"
5,6,Activity G,2020-06-19 20:10:49:575,normal,small,-,"-"
5,7,Activity H,2020-06-19 21:05:28:032,normal,small,-,"-"
5,8,Activity I,2020-06-19 21:28:59:232,normal,small,-,"-"
5,9,Activity J,2020-06-19 22:26:39:611,normal,small,-,"-"
5,10,Activity F,2020-06-19 23:24:48:780,normal,small,-,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-19 15:56:27:523,normal,small,-,"-"
6,2,Activity B,2020-06-19 16:24:26:970,normal,small,-,"-"
6,3,Activity C,2020-06-19 17:22:27:177,normal,small,-,"-"
6,4,Activity D,2020-06-19 18:12:56:133,normal,small,-,"-"
6,5,Activity E,2020-06-19 18:30:04:494,normal,small,-,"-"
6,6,Activity G,2020-06-19 19:17:29:957,normal,small,-,"-"
6,7,Activity H,2020-06-19 19:48:54:248,normal,small,-,"-"
6,8,Activity I,2020-06-19 20:24:22:427,normal,small,-,"-"
6,9,Activity J,2020-06-19 21:09:56:921,normal,small,-,"-"
6,10,Activity F,2020-06-19 21:49:42:608,normal,small,-,"-"
6,11,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-19 15:56:37:523,normal,small,-,"-"
7,2,Activity B,2020-06-19 16:26:05:757,normal,small,-,"-"
7,3,Activity C,2020-06-19 17:13:18:779,normal,small,-,"-"
7,4,Activity D,2020-06-19 17:47:05:746,normal,small,-,"-"
7,5,Activity E,2020-06-19 18:10:53:542,normal,small,-,"-"
7,6,Activity T,2020-06-19 19:01:23:626,normal,small,-,"-"
7,7,Activity F,2020-06-19 19:36:00:482,normal,small,-,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-19 15:56:47:523,normal,small,-,"-"
8,2,Activity B,2020-06-19 16:31:30:970,normal,small,-,"-"
8,3,Activity C,2020-06-19 17:27:31:171,normal,small,-,"-"
8,4,Activity D,2020-06-19 18:07:17:343,normal,small,-,"-"
8,5,Activity E,2020-06-19 18:56:19:076,normal,small,-,"-"
8,6,Activity T,2020-06-19 19:50:59:963,normal,small,-,"-"
8,7,Activity F,2020-06-19 20:39:57:416,normal,small,-,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-19 15:56:57:523,normal,small,-,"-"
9,2,Activity B,2020-06-19 16:33:47:226,normal,small,-,"-"
9,3,Activity C,2020-06-19 17:20:52:781,normal,small,-,"-"
9,4,Activity D,2020-06-19 18:06:19:028,normal,small,-,"-"
9,5,Activity E,2020-06-19 19:03:56:477,normal,small,-,"-"
9,6,Activity T,2020-06-19 19:59:21:264,normal,small,-,"-"
9,7,Activity F,2020-06-19 20:38:08:395,normal,small,-,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-19 15:57:07:523,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,2,Activity B,2020-06-19 16:23:13:814,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,3,Activity C,2020-06-19 17:22:52:341,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,4,Activity D,2020-06-19 18:20:00:611,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,5,Activity H,2020-06-19 19:02:36:483,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,6,Activity E,2020-06-19 19:54:37:887,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,7,Activity G,2020-06-19 20:29:23:743,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,8,Activity I,2020-06-19 20:49:51:399,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,9,Activity J,2020-06-19 21:40:24:403,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,10,Activity F,2020-06-19 22:33:05:125,anomalous,small,Late,"{'shift_from': 4, 'shift_to': 5, 'size': 2}"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-19 15:57:17:523,normal,small,-,"-"
11,2,Activity B,2020-06-19 16:45:34:173,normal,small,-,"-"
11,3,Activity C,2020-06-19 17:31:24:926,normal,small,-,"-"
11,4,Activity D,2020-06-19 18:01:38:695,normal,small,-,"-"
11,5,Activity E,2020-06-19 18:48:46:313,normal,small,-,"-"
11,6,Activity G,2020-06-19 19:42:47:685,normal,small,-,"-"
11,7,Activity H,2020-06-19 20:13:02:688,normal,small,-,"-"
11,8,Activity I,2020-06-19 20:44:25:655,normal,small,-,"-"
11,9,Activity J,2020-06-19 21:40:48:164,normal,small,-,"-"
11,10,Activity F,2020-06-19 22:29:08:574,normal,small,-,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-19 15:57:27:523,normal,small,-,"-"
12,2,Activity B,2020-06-19 16:37:01:629,normal,small,-,"-"
12,3,Activity C,2020-06-19 17:28:07:527,normal,small,-,"-"
12,4,Activity D,2020-06-19 18:03:58:419,normal,small,-,"-"
12,5,Activity E,2020-06-19 18:20:19:513,normal,small,-,"-"
12,6,Activity T,2020-06-19 19:11:31:030,normal,small,-,"-"
12,7,Activity F,2020-06-19 19:41:54:943,normal,small,-,"-"
12,8,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-19 15:57:37:523,normal,small,-,"-"
13,2,Activity B,2020-06-19 16:18:59:287,normal,small,-,"-"
13,3,Activity C,2020-06-19 17:07:57:232,normal,small,-,"-"
13,4,Activity D,2020-06-19 18:01:43:171,normal,small,-,"-"
13,5,Activity E,2020-06-19 18:58:15:128,normal,small,-,"-"
13,6,Activity G,2020-06-19 19:52:23:476,normal,small,-,"-"
13,7,Activity H,2020-06-19 20:24:24:926,normal,small,-,"-"
13,8,Activity I,2020-06-19 21:04:55:587,normal,small,-,"-"
13,9,Activity J,2020-06-19 21:59:34:065,normal,small,-,"-"
13,10,Activity F,2020-06-19 22:45:15:075,normal,small,-,"-"
13,11,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-19 15:57:47:523,normal,small,-,"-"
14,2,Activity B,2020-06-19 16:35:20:234,normal,small,-,"-"
14,3,Activity C,2020-06-19 17:29:51:827,normal,small,-,"-"
14,4,Activity D,2020-06-19 18:22:47:129,normal,small,-,"-"
14,5,Activity E,2020-06-19 18:56:49:415,normal,small,-,"-"
14,6,Activity K,2020-06-19 19:51:51:270,normal,small,-,"-"
14,7,Activity O,2020-06-19 20:49:42:437,normal,small,-,"-"
14,8,Activity P,2020-06-19 21:17:40:002,normal,small,-,"-"
14,9,Activity L,2020-06-19 22:04:43:364,normal,small,-,"-"
14,10,Activity F,2020-06-19 22:54:38:676,normal,small,-,"-"
14,11,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-19 15:57:57:523,normal,small,-,"-"
15,2,Activity B,2020-06-19 16:24:02:654,normal,small,-,"-"
15,3,Activity C,2020-06-19 17:12:19:490,normal,small,-,"-"
15,4,Activity D,2020-06-19 17:46:36:155,normal,small,-,"-"
15,5,Activity E,2020-06-19 18:41:34:908,normal,small,-,"-"
15,6,Activity T,2020-06-19 19:37:28:873,normal,small,-,"-"
15,7,Activity F,2020-06-19 20:26:47:286,normal,small,-,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
