case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Micheline,normal,-,-
1,2,Activity T,,Steve,normal,-,-
1,3,Activity AC,,Ling,normal,-,-
1,4,Activity AE,,Amanda,normal,-,-
1,5,Activity AD,,Emily,normal,-,-
1,6,Activity U,,Junior,normal,-,-
1,7,Activity B,,Rossie,normal,-,-
1,8,■,,■,normal,-,-
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Joe,normal,-,-
2,2,Activity BC,,Micheline,normal,-,-
2,3,Activity B,,Deloras,normal,-,-
2,4,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sharee,normal,-,-
3,2,Activity BZ,,Frances,normal,-,-
3,3,Activity B,,Steve,normal,-,-
3,4,■,,■,normal,-,-
4,0,▶,,▶,normal,-,-
4,1,Activity A,,Seth,normal,-,-
4,2,Activity BC,,Micheline,normal,-,-
4,3,Activity B,,Tiffiny,normal,-,-
4,4,■,,■,normal,-,-
5,0,▶,,▶,normal,-,-
5,1,Activity A,,Sharee,normal,-,-
5,2,Activity BZ,,Issac,normal,-,-
5,3,Activity B,,Elisha,normal,-,-
5,4,■,,■,normal,-,-
6,0,▶,,▶,normal,-,-
6,1,Activity A,,Joe,normal,-,-
6,2,Activity BC,,Micheline,normal,-,-
6,3,Activity B,,Tiffiny,normal,-,-
6,4,■,,■,normal,-,-
7,0,▶,,▶,normal,-,-
7,1,Activity A,,Carmella,normal,-,-
7,2,Activity BC,,Micheline,normal,-,-
7,3,Activity B,,Tiffiny,normal,-,-
7,4,■,,■,normal,-,-
8,0,▶,,▶,normal,-,-
8,1,Activity A,,Amanda,normal,-,-
8,2,Activity C,,Lisa,normal,-,-
8,3,Activity E,,Donald,normal,-,-
8,4,Activity F,,Keven,normal,-,-
8,5,Activity D,,James,normal,-,-
8,6,Activity S,,Hoyt,normal,-,-
8,7,Activity B,,Tiffiny,normal,-,-
8,8,■,,■,normal,-,-
9,0,▶,,▶,normal,-,-
9,1,Activity A,,Micheline,normal,-,-
9,2,Activity T,,Steve,normal,-,-
9,3,Activity AC,,Lucy,normal,-,-
9,4,Activity AE,,Amanda,normal,-,-
9,5,Activity AD,,Emily,normal,-,-
9,6,Activity U,,Hannah,normal,-,-
9,7,Activity B,,Ronald,normal,-,-
9,8,■,,■,normal,-,-
10,0,▶,,▶,normal,-,-
10,1,Activity A,,Doretta,normal,-,-
10,2,Activity C,,Seth,normal,-,-
10,3,Activity L,,Pam,normal,-,-
10,4,Activity N,,Paul,normal,-,-
10,5,Activity M,,Jack,normal,-,-
10,6,Activity D,,Sandra,normal,-,-
10,7,Activity S,,Gema,normal,-,-
10,8,Activity B,,Ronald,normal,-,-
10,9,■,,■,normal,-,-
11,0,▶,,▶,normal,-,-
11,1,Activity A,,Amanda,normal,-,-
11,2,Activity C,,Vickie,normal,-,-
11,3,Activity L,,Lisa,normal,-,-
11,4,Activity O,,Johnny,normal,-,-
11,5,Activity M,,Maryellen,normal,-,-
11,6,Activity D,,Shandi,normal,-,-
11,7,Activity S,,Brian,normal,-,-
11,8,Activity B,,Ronald,normal,-,-
11,9,■,,■,normal,-,-
12,0,▶,,▶,normal,-,-
12,1,Activity A,,Carmella,normal,-,-
12,2,Activity BC,,Micheline,normal,-,-
12,3,Activity B,,Tiffiny,normal,-,-
12,4,■,,■,normal,-,-
13,0,▶,,▶,normal,-,-
13,1,Activity A,,Sharee,normal,-,-
13,2,Activity BZ,,Issac,normal,-,-
13,3,Activity B,,Steve,normal,-,-
13,4,■,,■,normal,-,-
14,0,▶,,▶,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
14,1,Activity A,,Steve,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
14,2,Activity C,,Hoyt,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
14,3,Activity L,,Lisa,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
14,4,Activity O,,Marilyn,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
14,5,Activity M,,Jack,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
14,6,Activity B,,Deloras,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
14,7,■,,■,anomalous,SkipSequence,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Issac'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ryan'}}]}"
15,0,▶,,▶,normal,-,-
15,1,Activity A,,Joe,normal,-,-
15,2,Activity BC,,Micheline,normal,-,-
15,3,Activity B,,Grayce,normal,-,-
15,4,■,,■,normal,-,-
16,0,▶,,▶,normal,-,-
16,1,Activity A,,Micheline,normal,-,-
16,2,Activity T,,Grayce,normal,-,-
16,3,Activity AC,,Michaele,normal,-,-
16,4,Activity AG,,Charles,normal,-,-
16,5,Activity AH,,Doretta,normal,-,-
16,6,Activity AD,,Brant,normal,-,-
16,7,Activity U,,Hannah,normal,-,-
16,8,Activity B,,Ronald,normal,-,-
16,9,■,,■,normal,-,-
17,0,▶,,▶,normal,-,-
