case_id,event_position,activity_name,timestamp,user,label,anomaly_type,anomaly_description
1,0,▶,,▶,normal,-,-
1,1,Activity A,,Micheline,normal,-,-
1,2,Activity T,,Steve,normal,-,-
1,3,Activity AC,,Ling,normal,-,-
1,4,Activity AE,,Amanda,normal,-,-
1,5,Activity AD,,Emily,normal,-,-
1,6,Activity U,,Junior,normal,-,-
1,7,Activity B,,Rossie,normal,-,-
1,8,■,,■,normal,-,-
2,0,▶,,▶,normal,-,-
2,1,Activity A,,Joe,normal,-,-
2,2,Activity BC,,Micheline,normal,-,-
2,3,Activity B,,Deloras,normal,-,-
2,4,■,,■,normal,-,-
3,0,▶,,▶,normal,-,-
3,1,Activity A,,Sharee,normal,-,-
3,2,Activity BZ,,Frances,normal,-,-
3,3,Activity B,,Steve,normal,-,-
3,4,■,,■,normal,-,-
4,0,▶,,▶,anomalous,Insert,{'indices': [0]}
4,1,Random activity 47,,Random user 44,anomalous,Insert,{'indices': [0]}
4,2,Activity A,,Seth,anomalous,Insert,{'indices': [0]}
4,3,Activity BC,,Micheline,anomalous,Insert,{'indices': [0]}
4,4,Activity B,,Tiffiny,anomalous,Insert,{'indices': [0]}
4,5,■,,■,anomalous,Insert,{'indices': [0]}
5,0,▶,,▶,normal,-,-
5,1,Activity A,,Sharee,normal,-,-
5,2,Activity BZ,,Issac,normal,-,-
5,3,Activity B,,Elisha,normal,-,-
5,4,■,,■,normal,-,-
6,0,▶,,▶,normal,-,-
6,1,Activity A,,Joe,normal,-,-
6,2,Activity BC,,Micheline,normal,-,-
6,3,Activity B,,Tiffiny,normal,-,-
6,4,■,,■,normal,-,-
7,0,▶,,▶,normal,-,-
7,1,Activity A,,Carmella,normal,-,-
7,2,Activity BC,,Micheline,normal,-,-
7,3,Activity B,,Tiffiny,normal,-,-
7,4,■,,■,normal,-,-
8,0,▶,,▶,normal,-,-
8,1,Activity A,,Amanda,normal,-,-
8,2,Activity C,,Lisa,normal,-,-
8,3,Activity E,,Donald,normal,-,-
8,4,Activity F,,Keven,normal,-,-
8,5,Activity D,,James,normal,-,-
8,6,Activity S,,Hoyt,normal,-,-
8,7,Activity B,,Tiffiny,normal,-,-
8,8,■,,■,normal,-,-
9,0,▶,,▶,normal,-,-
9,1,Activity A,,Micheline,normal,-,-
9,2,Activity T,,Steve,normal,-,-
9,3,Activity AC,,Lucy,normal,-,-
9,4,Activity AE,,Amanda,normal,-,-
9,5,Activity AD,,Emily,normal,-,-
9,6,Activity U,,Hannah,normal,-,-
9,7,Activity B,,Ronald,normal,-,-
9,8,■,,■,normal,-,-
10,0,▶,,▶,normal,-,-
10,1,Activity A,,Doretta,normal,-,-
10,2,Activity C,,Seth,normal,-,-
10,3,Activity L,,Pam,normal,-,-
10,4,Activity N,,Paul,normal,-,-
10,5,Activity M,,Jack,normal,-,-
10,6,Activity D,,Sandra,normal,-,-
10,7,Activity S,,Gema,normal,-,-
10,8,Activity B,,Ronald,normal,-,-
10,9,■,,■,normal,-,-
11,0,▶,,▶,normal,-,-
11,1,Activity A,,Amanda,normal,-,-
11,2,Activity C,,Vickie,normal,-,-
11,3,Activity L,,Lisa,normal,-,-
11,4,Activity O,,Johnny,normal,-,-
11,5,Activity M,,Maryellen,normal,-,-
11,6,Activity D,,Shandi,normal,-,-
11,7,Activity S,,Brian,normal,-,-
11,8,Activity B,,Ronald,normal,-,-
11,9,■,,■,normal,-,-
12,0,▶,,▶,normal,-,-
12,1,Activity A,,Carmella,normal,-,-
12,2,Activity BC,,Micheline,normal,-,-
12,3,Activity B,,Tiffiny,normal,-,-
12,4,■,,■,normal,-,-
13,0,▶,,▶,normal,-,-
13,1,Activity A,,Sharee,normal,-,-
13,2,Activity BZ,,Issac,normal,-,-
13,3,Activity B,,Steve,normal,-,-
13,4,■,,■,normal,-,-
14,0,▶,,▶,normal,-,-
14,1,Activity A,,Steve,normal,-,-
14,2,Activity C,,Hoyt,normal,-,-
14,3,Activity L,,Lisa,normal,-,-
14,4,Activity O,,Marilyn,normal,-,-
14,5,Activity M,,Jack,normal,-,-
14,6,Activity D,,Issac,normal,-,-
14,7,Activity S,,Ryan,normal,-,-
14,8,Activity B,,Deloras,normal,-,-
14,9,■,,■,normal,-,-
15,0,▶,,▶,normal,-,-
15,1,Activity A,,Joe,normal,-,-
15,2,Activity BC,,Micheline,normal,-,-
15,3,Activity B,,Grayce,normal,-,-
15,4,■,,■,normal,-,-
16,0,▶,,▶,normal,-,-
16,1,Activity A,,Micheline,normal,-,-
16,2,Activity T,,Grayce,normal,-,-
16,3,Activity AC,,Michaele,normal,-,-
16,4,Activity AG,,Charles,normal,-,-
16,5,Activity AH,,Doretta,normal,-,-
16,6,Activity AD,,Brant,normal,-,-
16,7,Activity U,,Hannah,normal,-,-
16,8,Activity B,,Ronald,normal,-,-
16,9,■,,■,normal,-,-
17,0,▶,,▶,normal,-,-
17,1,Activity A,,Amanda,normal,-,-
17,2,Activity C,,Della,normal,-,-
17,3,Activity G,,Clayton,normal,-,-
17,4,Activity K,,Sandra,normal,-,-
17,5,Activity H,,Keven,normal,-,-
17,6,Activity D,,Hassie,normal,-,-
17,7,Activity S,,Velda,normal,-,-
17,8,Activity B,,Tiffiny,normal,-,-
17,9,■,,■,normal,-,-
18,0,▶,,▶,normal,-,-
18,1,Activity A,,Steve,normal,-,-
18,2,Activity C,,Lucy,normal,-,-
18,3,Activity L,,Pam,normal,-,-
18,4,Activity N,,Vickie,normal,-,-
18,5,Activity M,,Maryellen,normal,-,-
18,6,Activity D,,Issac,normal,-,-
18,7,Activity S,,Ryan,normal,-,-
18,8,Activity B,,Deloras,normal,-,-
18,9,■,,■,normal,-,-
19,0,▶,,▶,normal,-,-
19,1,Activity A,,Frances,normal,-,-
19,2,Activity BD,,Lisa,normal,-,-
19,3,Activity BP,,Carmella,normal,-,-
19,4,Activity BE,,Lisa,normal,-,-
19,5,Activity BQ,,Jamika,normal,-,-
19,6,Activity BR,,Elisha,normal,-,-
19,7,Activity BU,,Clayton,normal,-,-
19,8,Activity BS,,Hoyt,normal,-,-
19,9,Activity B,,Joe,normal,-,-
19,10,■,,■,normal,-,-
20,0,▶,,▶,normal,-,-
20,1,Activity A,,Joe,normal,-,-
20,2,Activity BC,,Micheline,normal,-,-
20,3,Activity B,,Tiffiny,normal,-,-
20,4,■,,■,normal,-,-
21,0,▶,,▶,normal,-,-
21,1,Activity A,,Micheline,normal,-,-
21,2,Activity T,,Jack,normal,-,-
21,3,Activity AN,,Brian,normal,-,-
21,4,Activity AP,,Tiffiny,normal,-,-
21,5,Activity AO,,Iluminada,normal,-,-
21,6,Activity U,,Hoyt,normal,-,-
21,7,Activity B,,Rossie,normal,-,-
